state_key,action_key,action,game,round
"pub_()_priv_('7', 'A')_-1.0_2_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",40,1
"pub_('2',)_priv_('7', 'A')_-3.0_A_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",40,2
"pub_('2', 'A')_priv_('7', 'A')_-11.0_Q_3",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",40,3
"pub_('2', '7', 'A')_priv_('A',)_-5.5_4_4",take_discard_2,"{'type': 'take_discard', 'position': 2}",40,4
"pub_()_priv_('5', '8')_2.0_A_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",41,1
"pub_('A',)_priv_('5', '8')_-2.0_5_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",41,2
"pub_('5', 'A')_priv_('5', '8')_-9.0_4_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",41,3
"pub_('4', '5', 'A')_priv_('5',)_-11.0_6_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",41,4
"pub_()_priv_('3', 'Q')_1.5_A_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",42,1
"pub_('A',)_priv_('3', 'Q')_-6.5_9_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",42,2
"pub_('9', 'A')_priv_('3', 'Q')_-8.5_K_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",42,3
"pub_('9', 'A', 'K')_priv_('3',)_-3.5_4_4",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",42,4
"pub_()_priv_('7', 'Q')_0.0_5_1",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",43,1
"pub_('Q',)_priv_('7',)_-3.0_7_2",take_discard_0,"{'type': 'take_discard', 'position': 0}",43,2
"pub_('7', 'Q')_priv_('7',)_-17.0_10_3",take_discard_1,"{'type': 'take_discard', 'position': 1}",43,3
"pub_('10', '7', 'Q')_priv_('7',)_-7.5_J_4",take_discard_2,"{'type': 'take_discard', 'position': 2}",43,4
"pub_()_priv_('10', 'A')_0.0_A_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",44,1
